density	pressure [atm]	error [atm]
0.0316	58406.03303357472	4101.350262181205
0.0318	59798.045920918375	3932.229170305146
0.032	61140.17398657499	4156.024543958669
0.0322	62513.55155713823	4282.035972704472
0.0324	64263.99705632869	4102.674748151088
0.0326	65637.42170409166	4265.865549658597
0.0328	67046.63597675921	4335.839907165666
0.033	68935.45404443724	4363.172459303983
0.0332	70558.13996323047	4344.371149778525
0.0334	72128.38558687258	4474.424703335892
0.0336	73925.0933698052	4500.97693215625
0.033800000000000004	75748.96530859375	4532.491436067941
0.034	77589.05345094834	4536.901167127143
0.0342	79298.7606536553	4679.642691756629
0.0344	81114.06536857325	4719.787555180491
0.0346	82884.2979940214	4689.2250304027375
0.0348	84966.73923597742	4920.726769182064
0.035	87107.77293285527	4925.117677082126
0.0352	89050.98757289331	4867.27272531718
0.0354	91121.55996461588	4934.345521338579
0.0356	93263.48042857145	4904.180140306404
0.0358	95380.41417449884	5059.69767070965
0.036	97460.20505866755	5214.886312114672
0.0362	99887.62425430464	5141.480542586889
0.0364	101997.35976415724	5211.899006327595
0.0366	104389.5843080155	5274.877899369777
0.0368	106789.47325114305	5375.627854091687
0.037	109358.84702139384	5394.292026736589
0.037200000000000004	111644.142589588	5521.705521908182
0.0374	114323.08338957345	5471.506446429469
0.0376	116857.51994603868	5635.049196647011
0.0378	119380.83731867088	5644.509157695587
0.038	122113.14355025775	5802.48560585756
0.0382	125015.39727980082	5883.632436920025
0.038400000000000004	127724.72010961476	5730.8966770059005
0.0386	130753.87037167573	5980.401663649802
0.0388	133513.77602604826	6012.898860487037
0.039	136694.59619660804	6110.598968707028
0.0392	139738.4113863928	6150.506946345994
0.0394	142873.0046915127	6226.633678327377
0.0396	145820.05754032257	6247.473869935243
0.0398	149320.51123476087	6370.12434226769
0.04	152685.9523379112	6447.451815627679
