density	pressure [atm]	error [atm]
0.0246	24362.232254872564	2650.9360818158584
0.0248	24967.278857071466	2651.5492442403206
0.025	25686.93875662169	2688.750622434092
0.0252	26442.01495902049	2793.2878384504847
0.0254	27065.91451624188	2797.6041066311536
0.0256	27827.769771114446	2850.7429398363843
0.0258	28528.636800599703	2865.718142374071
0.026	29384.580453273364	2836.825385518904
0.0262	30143.09318990505	2967.9208834130673
0.0264	30979.67127086457	2940.897545434743
0.0266	31790.697732633686	2954.917401423634
0.0268	32544.154554222885	2929.279437487969
0.027	33455.36803048476	3056.296021892966
0.0272	34322.699358320846	3118.850590169208
0.0274	35257.49708245877	3107.400343103619
0.0276	35984.54993903048	3115.639214779462
0.027800000000000002	36997.822884557725	3248.4914671398456
0.028	38024.184429285364	3257.4140742990508
0.0282	39078.05385457271	3279.3852100377367
